Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,Mean
ausl059.rwl.csv,ausl059,MAN2.8,MAN2.8N,MAN2.8S,1912,2003,92,0.833013165
ausl060.rwl.csv,ausl060,TIWI5,TIWI5N,TIWI5S,1933,1985,53,0.97003417
ausl060.rwl.csv,ausl060,TIWI9,TIWI9N,TIWI9S,1936,1992,57,1.255417522
az566.rwl.csv,az566,SCL-14,SCL-14N,SCL-14S,1901,1965,65,1.070779123
az566.rwl.csv,az566,SCL-15,SCL-15N,SCL-15S,1901,1965,65,0.656968646
az566.rwl.csv,az566,SCL-16,SCL-16N,SCL-16S,1901,1957,57,0.980749394
az566.rwl.csv,az566,SCL-9,SCL-9N,SCL-9S,1901,1965,65,1.049476613
brit7.rwl.csv,brit7,Q2533,Q2533N,Q2533S,1901,1975,75,0.762438853
brit7.rwl.csv,brit7,Q2535,Q2535N,Q2535S,1901,1975,75,0.633485711
brit7.rwl.csv,brit7,Q2537,Q2537N,Q2537S,1901,1975,75,2.305535155
brit7.rwl.csv,brit7,Q2538,Q2538N,Q2538S,1901,1975,75,1.355819789
brit7.rwl.csv,brit7,Q2540,Q2540N,Q2540S,1901,1975,75,2.034733999
brit7.rwl.csv,brit7,Q2541,Q2541N,Q2541S,1901,1975,75,1.249468192
can677.rwl.csv,can677,R9801,R9801N,R9801S,1901,1997,97,0.89865364
can677.rwl.csv,can677,R9815,R9815N,R9815S,1901,1997,97,0.99785393
can677.rwl.csv,can677,R9817,R9817N,R9817S,1901,1939,39,2.105710163
can677.rwl.csv,can677,R9851,R9851N,R9851S,1901,1997,97,1.019087465
cana223.rwl.csv,cana223,A9803,A9803N,A9803S,1965,1997,33,0.967181842
cana223.rwl.csv,cana223,A9804,A9804N,A9804S,1933,1997,65,1.38719745
cana223.rwl.csv,cana223,A9806,A9806N,A9806S,1901,1997,97,1.349950294
cana223.rwl.csv,cana223,A9808,A9808N,A9808S,1901,1996,96,1.015776632
cana223.rwl.csv,cana223,A9809,A9809N,A9809S,1922,1997,76,2.709323199
cana223.rwl.csv,cana223,A9812,A9812N,A9812S,1901,1997,97,1.388421544
cana223.rwl.csv,cana223,A9814,A9814N,A9814S,1927,1997,71,2.017574429
cana224.rwl.csv,cana224,R9801,R9801N,R9801S,1901,1997,97,0.89865364
cana224.rwl.csv,cana224,R9815,R9815N,R9815S,1901,1997,97,0.99785393
cana224.rwl.csv,cana224,R9817,R9817N,R9817S,1901,1939,39,2.105710163
cana224.rwl.csv,cana224,R9851,R9851N,R9851S,1901,1997,97,1.019087465
cana225.rwl.csv,cana225,M9805,M9805N,M9805S,1901,1997,97,1.429151557
cana225.rwl.csv,cana225,M9811,M9811N,M9811S,1901,1997,97,0.64005672
cana225b.rwl.csv,cana225b,MB9811,MB9811N,MB9811S,1901,1996,96,0.997355913
cana225e.rwl.csv,cana225e,M9811,M9811N,M9811S,1901,1997,97,0.611983854
cana225l.rwl.csv,cana225l,M9811,M9811N,M9811S,1901,1997,97,0.893888365
cana226.rwl.csv,cana226,E9813,E9813N,E9813S,1901,1997,97,1.551229065
cana226.rwl.csv,cana226,E9815,E9815N,E9815S,1901,1997,97,1.025236699
cana226e.rwl.csv,cana226e,E9813,E9813N,E9813S,1901,1997,97,1.511469652
cana226l.rwl.csv,cana226l,E9813,E9813N,E9813S,1901,1997,97,1.787248127
cana228.rwl.csv,cana228,Y9816,Y9816N,Y9816S,1901,1997,97,0.918527667
cana229.rwl.csv,cana229,O9806,O9806N,O9806S,1901,1997,97,1.082466143
cana229.rwl.csv,cana229,O9809,O9809N,O9809S,1901,1997,97,1.038004147
cana229.rwl.csv,cana229,O9812,O9812N,O9812S,1901,1997,97,0.93442441
cana229.rwl.csv,cana229,O9815,O9815N,O9815S,1901,1997,97,0.879483921
cana230.rwl.csv,cana230,K9801,K9801N,K9801S,1901,1996,96,1.011665164
cana230.rwl.csv,cana230,K9805,K9805N,K9805S,1901,1997,97,1.177817727
cana230b.rwl.csv,cana230b,KB9801,KB9801N,KB9801S,1901,1996,96,1.018120976
cana230b.rwl.csv,cana230b,KB9805,KB9805N,KB9805S,1901,1996,96,1.003018654
cana230b.rwl.csv,cana230b,KB9807,KB9807N,KB9807S,1901,1996,96,1.110138677
cana230e.rwl.csv,cana230e,K9805,K9805N,K9805S,1901,1997,97,1.228355856
cana231.rwl.csv,cana231,P9805,P9805N,P9805S,1901,1997,97,0.43093963
cana232.rwl.csv,cana232,Q9803,Q9803N,Q9803S,1901,1997,97,1.032324809
cana232.rwl.csv,cana232,Q9818,Q9818N,Q9818S,1901,1997,97,1.133078273
cana234.rwl.csv,cana234,B9811,B9811N,B9811S,1901,1948,48,0.970832063
cana234e.rwl.csv,cana234e,B9811,B9811N,B9811S,1901,1948,48,0.930955358
cana235.rwl.csv,cana235,D9816,D9816N,D9816S,1901,1997,97,1.069802783
cana235.rwl.csv,cana235,D9820,D9820N,D9820S,1901,1990,90,1.022471007
cana236.rwl.csv,cana236,G9801,G9801N,G9801S,1901,1997,97,0.791992226
cana237.rwl.csv,cana237,V9808,V9808N,V9808S,1901,1997,97,1.130517733
cana237.rwl.csv,cana237,V9822,V9822N,V9822S,1901,1947,47,1.126073947
cana237e.rwl.csv,cana237e,V9822,V9822N,V9822S,1901,1947,47,1.101256164
cana237l.rwl.csv,cana237l,V9822,V9822N,V9822S,1901,1947,47,1.233960107
cana238.rwl.csv,cana238,C9825,C9825N,C9825S,1901,1997,97,1.550906239
cana238e.rwl.csv,cana238e,C9825,C9825N,C9825S,1901,1997,97,1.510481529
cana239.rwl.csv,cana239,H9801,H9801N,H9801S,1901,1997,97,1.110871676
cana239.rwl.csv,cana239,H9808,H9808N,H9808S,1901,1997,97,0.796875678
cana239.rwl.csv,cana239,H9814,H9814N,H9814S,1901,1997,97,0.821395257
cana239.rwl.csv,cana239,H9816,H9816N,H9816S,1901,1997,97,0.967836029
cana239.rwl.csv,cana239,H9817,H9817N,H9817S,1901,1997,97,0.618556712
cana240.rwl.csv,cana240,T9807,T9807N,T9807S,1901,1997,97,0.998175711
cana240.rwl.csv,cana240,T9812,T9812N,T9812S,1911,1997,87,1.104076959
cana241.rwl.csv,cana241,Z9806,Z9806N,Z9806S,1901,1997,97,1.586536774
cana241.rwl.csv,cana241,Z9811,Z9811N,Z9811S,1919,1997,79,0.374822773
cana242.rwl.csv,cana242,L9825,L9825N,L9825S,1901,1997,97,1.147367632
cana308.rwl.csv,cana308,GP402,GP402N,GP402S,1901,1993,93,1.42612408
cana317.rwl.csv,cana317,LC7,LC7N,LC7S,1901,1991,91,1.021889985
cana319.rwl.csv,cana319,EF31,EF31N,EF31S,1901,1993,93,1.326723255
cana319.rwl.csv,cana319,EF49,EF49N,EF49S,1901,1993,93,1.007696083
cana320.rwl.csv,cana320,61,61N,61S,1901,1994,94,0.852531304
cana320.rwl.csv,cana320,64,64N,64S,1901,1989,89,1.297079124
cana320.rwl.csv,cana320,PT8,PT8N,PT8S,1901,1955,55,0.944589757
cana323.rwl.csv,cana323,AP19,AP19N,AP19S,1901,1986,86,1.38144536
cana323.rwl.csv,cana323,AP22,AP22N,AP22S,1901,1986,86,1.480828125
cana323.rwl.csv,cana323,AP25,AP25N,AP25S,1901,1986,86,0.398663871
cana323.rwl.csv,cana323,NB12,NB12N,NB12S,1901,1986,86,1.297350688
cana323.rwl.csv,cana323,NB13,NB13N,NB13S,1901,1986,86,1.077096092
cana351.rwl.csv,cana351,B8225,B8225N,B8225S,1901,1981,81,1.531920809
cana351.rwl.csv,cana351,B8648,B8648N,B8648S,1901,1985,85,0.623305654
cana351.rwl.csv,cana351,B9717,B9717N,B9717S,1901,1995,95,0.730146475
cana351.rwl.csv,cana351,B9722,B9722N,B9722S,1901,1996,96,1.07392081
cana352.rwl.csv,cana352,FG415,FG415N,FG415S,1901,1993,93,0.347970357
cana353.rwl.csv,cana353,Y0024,Y0024N,Y0024S,1901,1999,99,0.968820107
cana353.rwl.csv,cana353,Y0037,Y0037N,Y0037S,1901,1998,98,1.208855946
cana354.rwl.csv,cana354,L0003,L0003N,L0003S,1901,1999,99,0.596167805
cana354.rwl.csv,cana354,L0006,L0006N,L0006S,1901,1991,91,1.791841047
cana354.rwl.csv,cana354,L0008,L0008N,L0008S,1901,1999,99,1.292837773
cana354.rwl.csv,cana354,L9934,L9934N,L9934S,1901,1998,98,1.626571525
cana354.rwl.csv,cana354,L9939,L9939N,L9939S,1901,1996,96,1.624103813
cana354.rwl.csv,cana354,L9947,L9947N,L9947S,1901,1998,98,1.183489099
cana354.rwl.csv,cana354,L9948,L9948N,L9948S,1901,1949,49,1.434654288
cana354.rwl.csv,cana354,YLL11,YLL11N,YLL11S,1901,2001,101,1.295797569
cana354.rwl.csv,cana354,YLL13,YLL13N,YLL13S,1901,1933,33,0.995851197
cana354.rwl.csv,cana354,YLL14,YLL14N,YLL14S,1901,1997,97,1.284293678
cana354.rwl.csv,cana354,YLL20,YLL20N,YLL20S,1901,2001,101,1.58066942
cana354.rwl.csv,cana354,YLL22,YLL22N,YLL22S,1901,2001,101,1.640685457
cana354.rwl.csv,cana354,YLL23,YLL23N,YLL23S,1901,2001,101,0.962648011
cana356.rwl.csv,cana356,N9315,N9315N,N9315S,1901,1992,92,1.181374977
cana356.rwl.csv,cana356,N0004,N0004N,N0004S,1901,1936,36,2.070280296
cana356.rwl.csv,cana356,N0009,N0009N,N0009S,1901,1999,99,1.140383524
cana356.rwl.csv,cana356,N0018,N0018N,N0018S,1901,1971,71,1.368020032
cana356.rwl.csv,cana356,N0019,N0019N,N0019S,1901,1972,72,2.159451823
cana357.rwl.csv,cana357,S9876,S9876N,S9876S,1901,1942,42,0.868130888
cana357.rwl.csv,cana357,S9881,S9881N,S9881S,1901,1997,97,0.757094684
cana360.rwl.csv,cana360,Y4Q22,Y4Q22N,Y4Q22S,1901,2001,101,0.960062553
cana360.rwl.csv,cana360,Y4Q30,Y4Q30N,Y4Q30S,1901,1936,36,0.972866609
cana363.rwl.csv,cana363,Y4U01,Y4U01N,Y4U01S,1901,2003,103,1.797727785
cana363.rwl.csv,cana363,Y4U20,Y4U20N,Y4U20S,1901,2003,103,1.187132159
cana363.rwl.csv,cana363,Y4U22,Y4U22N,Y4U22S,1901,1981,81,1.105352067
cana364.rwl.csv,cana364,YY301,YY301N,YY301S,1901,1990,90,1.625686841
cana364.rwl.csv,cana364,YY307,YY307N,YY307S,1901,1917,17,0.899197603
cana364.rwl.csv,cana364,YY313,YY313N,YY313S,1901,2002,102,1.078670552
cana364.rwl.csv,cana364,YY328,YY328N,YY328S,1901,1972,72,1.411612999
cana364.rwl.csv,cana364,YY332,YY332N,YY332S,1901,2002,102,1.176389505
cana364.rwl.csv,cana364,YY333,YY333N,YY333S,1901,2002,102,0.457416876
cana365.rwl.csv,cana365,D0000,D0000N,D0000S,1901,1963,63,1.139547194
cana365.rwl.csv,cana365,D0002,D0002N,D0002S,1901,1999,99,0.955011494
cana365.rwl.csv,cana365,D0009,D0009N,D0009S,1901,1999,99,0.735625553
cana365.rwl.csv,cana365,D0013,D0013N,D0013S,1901,1999,99,0.485285141
cana365.rwl.csv,cana365,D0015,D0015N,D0015S,1901,1999,99,1.456191121
cana365.rwl.csv,cana365,D0020,D0020N,D0020S,1901,1999,99,1.015021241
cana365.rwl.csv,cana365,D0022,D0022N,D0022S,1901,1999,99,1.300640329
cana366.rwl.csv,cana366,YG425,YG425N,YG425S,1910,2003,94,0.937754708
cana366.rwl.csv,cana366,YG423,YG423N,YG423S,1901,2003,103,1.109378794
cana366.rwl.csv,cana366,YG414,YG414N,YG414S,1901,2002,102,0.986434078
cana366.rwl.csv,cana366,YG444,YG444N,YG444S,1901,2003,103,1.217509228
cana366.rwl.csv,cana366,YG443,YG443N,YG443S,1930,2003,74,1.084778063
cana367.rwl.csv,cana367,YO303,YO303N,YO303S,1931,2002,72,1.084322694
cana367.rwl.csv,cana367,YO311,YO311N,YO311S,1905,2002,98,0.997819447
cana367.rwl.csv,cana367,YO313,YO313N,YO313S,1946,2002,57,0.918031986
cana367.rwl.csv,cana367,YO322,YO322N,YO322S,1945,2002,58,1.070012876
cana367.rwl.csv,cana367,YO330,YO330N,YO330S,1901,2002,102,0.723412725
cana367.rwl.csv,cana367,YO333,YO333N,YO333S,1926,2002,77,0.723890303
cana367.rwl.csv,cana367,YO350,YO350N,YO350S,1901,2002,102,1.420800176
cana367.rwl.csv,cana367,YO351,YO351N,YO351S,1901,1997,97,1.259544591
cana367.rwl.csv,cana367,YO363,YO363N,YO363S,1909,2002,94,1.008041383
cana367.rwl.csv,cana367,YO383,YO383N,YO383S,1901,2002,102,1.313959703
cana367.rwl.csv,cana367,YO391,YO391N,YO391S,1901,2002,102,0.852303649
cana367.rwl.csv,cana367,YO392,YO392N,YO392S,1901,2002,102,1.511957934
cana367.rwl.csv,cana367,YO395,YO395N,YO395S,1901,1939,39,0.377553273
cana368.rwl.csv,cana368,YI342,YI342N,YI342S,1901,2002,102,1.221848019
cana368.rwl.csv,cana368,YI346,YI346N,YI346S,1901,2002,102,1.411091357
cana369.rwl.csv,cana369,YW323,YW323N,YW323S,1901,1970,70,2.070817337
cana369.rwl.csv,cana369,YW324,YW324N,YW324S,1901,2000,100,1.065849713
cana369.rwl.csv,cana369,YW334,YW334N,YW334S,1901,2002,102,1.461058647
cana372.rwl.csv,cana372,YJ305,YJ305N,YJ305S,1901,1926,26,0.675505971
cana372.rwl.csv,cana372,YJ308,YJ308N,YJ308S,1901,2002,102,0.941183825
cana372.rwl.csv,cana372,YJ312,YJ312N,YJ312S,1901,2002,102,1.798649159
cana372.rwl.csv,cana372,YJ315,YJ315N,YJ315S,1901,2002,102,0.715828256
cana372.rwl.csv,cana372,YJ316,YJ316N,YJ316S,1901,2002,102,1.060471149
cana372.rwl.csv,cana372,YJ317,YJ317N,YJ317S,1901,2002,102,0.346526929
cana372.rwl.csv,cana372,YJ322,YJ322N,YJ322S,1901,2002,102,0.790259339
cana372.rwl.csv,cana372,YJ323,YJ323N,YJ323S,1901,2002,102,1.11230235
cana372.rwl.csv,cana372,YJ324,YJ324N,YJ324S,1901,1964,64,0.822948062
cana372.rwl.csv,cana372,YJ325,YJ325N,YJ325S,1901,2000,100,1.006788682
cana372.rwl.csv,cana372,YJ332,YJ332N,YJ332S,1901,2002,102,1.527021383
